"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
8,8;21;2,6;3;0;74;1;1
7,7;20;12;3;0;990;1;0
8,5;53;6;4;0;155;1;0
7,4;15;13;4;0;291;1;0
8,6;66;4,2;5;0;249;1;1
8,9;51;12;4;0;665;1;0
7,9;37;2,5;3;1;625;1;0
8,6;12;14;2;0;154;1;1
9;29;3,7;3;0;489;1;0
8,7;48;2,7;4;0;111;1;0
8,9;44;6;4;0;683;1;0
9,3;42;8;4;0;23;1;0
8;41;5;4;0;1054;1;0
8;22;4;4;0;646;1;1
9;31;11;3;0;624;1;0
7,7;97;12;4;1;176;1;1
8;28;4;4;0;1600;1;0
9,2;68;8;4;1;41;1;0
8,3;26;11;4;1;217;1;1
8,8;80;4,5;5;1;407;1;0
8,4;17;3,7;3;0;712;1;0
8,6;65;5;5;0;563;1;0
7,9;25;4;4;0;365;1;0
7,7;16;2,5;2;0;635;1;1
8,2;64;4,9;4;0;496;1;0
8,5;51;1,4;5;0;1167;1;0
8,5;14;6;3;0;25;1;1
9;37;3,9;4;0;2076;1;0
8,6;60;8;4;0;356;1;0
7,9;27;7;4;0;582;1;0
8,4;42;7;3;0;129;1;1
8,1;28;3,3;3;0;367;1;1
7,8;30;5;4;0;1325;1;1
8,2;21;7;3;0;759;1;0
8,9;23;0,5;3;0;1317;1;0
8,6;28;4,5;4;0;524;1;1
8;13;1,5;2;0;4929;1;0
8,3;45;7;4;0;177;1;1
8,3;18;3,4;3;0;236;1;0
7,7;30;4,5;4;0;336;1;0
8,4;38;13;4;1;199;1;1
8,2;14;14;4;0;647;1;0
6,6;14;7;3;0;783;1;1
8,2;28;7;4;0;317;1;1
8,8;24;6;3;1;880;1;1
8,3;35;14;3;0;87;1;1
8;32;3,4;3;0;1854;1;0
9;50;2,1;4;0;940;1;0
7,8;13;14;4;0;594;1;0
7,5;35;7;4;1;68;1;1
7,8;19;7;3;0;280;1;1
7,3;13;7;3;0;429;1;1
9,5;22;3,9;3;0;15;1;0
8,9;31;14;3;0;66;1;0
7,5;35;2,5;3;1;1038;1;0
7,6;27;1;3;0;1386;1;0
8,1;18;2,8;3;1;803;1;1
8,6;12;3;2;0;636;1;0
8,5;17;10;3;0;461;1;0
7,9;35;4;3;0;46;1;0
7,7;10;1,1;3;0;989;1;0
8,6;28;8;4;0;218;1;0
8,3;23;4,5;4;0;307;1;0
8,2;22;8;3;1;1350;1;0
8,1;16;7;3;0;1069;1;0
8,1;22;5;4;0;596;1;0
8,1;11;4,5;2;0;715;1;1
7,2;11;10;3;0;41;1;0
6,8;15;11;2;0;33;1;0
8;51;6;4;0;328;1;1
8,6;29;3,1;4;0;2385;1;1
9,2;33;3,1;3;1;499;1;1
8,6;32;4,4;3;1;130;1;0
8,1;39;13;4;1;112;1;1
8,3;47;10;5;0;212;1;0
7,9;21;9;2;0;334;1;1
7,9;19;2,4;3;0;829;1;0
8,3;17;7;3;0;1040;1;0
8,6;38;6;4;0;1173;1;0
8,6;19;6;2;0;26;1;0
7,5;32;1;3;0;3172;1;0
7,9;53;5;5;0;34;1;0
8,2;29;8;3;0;211;1;0
8,2;27;9;3;0;418;1;1
8,9;65;2;4;1;101;1;1
8,9;102;5;5;0;1709;1;1
8,7;22;0,6;3;0;2509;1;0
8,8;88;5;5;0;236;1;0
7,9;49;3,1;4;1;493;1;0
9;39;3,1;4;1;1140;1;1
8,5;28;4,2;3;0;160;1;0
8;27;13;4;1;135;1;0
8,1;19;2,2;2;0;233;1;1
9,1;21;3,8;3;0;139;1;1
8,8;97;7;5;0;220;1;1
8,8;22;0,85;3;0;127;1;0
8,6;13;11;2;0;58;1;1
7,3;23;1,5;3;1;269;1;0
8,7;56;4,5;5;0;133;1;1
8,3;16;6;2;1;1400;1;1
6,4;17;9;3;0;22;1;0
8,7;18;7;3;0;186;1;0
8,5;22;3,5;3;0;156;1;1
7,3;10;2,2;2;0;493;1;0
7,9;26;9;3;0;230;1;0
8,1;28;5;4;0;485;1;0
7,6;20;11;3;0;147;1;1
8,4;30;7;3;0;762;1;0
8,4;23;6;4;0;509;1;0
9;47;3,4;4;0;272;0;0
6,9;25;3,8;4;0;186;1;0
8,1;35;4,5;4;0;28;1;0
7,9;33;7;3;0;528;1;0
7,6;14;12;3;0;100;1;0
7,1;16;6;3;0;50;1;0
8,8;33;5;3;0;327;1;0
8,2;107;2;4;1;218;1;1
8,7;10;11;3;1;528;1;1
8;28;6;4;0;529;1;0
8,2;29;3,5;3;0;134;1;0
8,5;93;7;4;0;230;1;0
8,5;22;2,2;3;0;1082;1;1
8;27;6;3;0;125;0;1
8,3;18;13;2;0;129;1;1
9;88;8;5;0;298;1;1
7,4;61;1;5;0;6359;1;0
8,4;22;3,2;4;0;837;1;0
8,1;22;5;3;0;384;1;0
8,1;16;3,6;2;0;226;1;1
7,6;17;5;3;0;681;1;1
8,6;40;0,95;3;0;1075;1;0
9,5;69;2;4;1;448;1;1
7,8;40;4;4;0;579;1;0
7,8;19;5;3;0;849;1;0
8;32;12;4;0;245;1;0
7,7;8;13;2;0;16;1;1
7,7;16;0,95;2;0;673;1;0
6,9;37;7;4;0;60;1;1
8,4;80;6;4;1;221;1;0
8,6;15;12;3;0;106;1;1
7,1;29;5;3;1;231;1;0
7,4;27;9;3;0;29;1;0
7,9;16;13;2;0;68;1;0
9,1;50;8;4;0;324;1;0
7,9;12;1,7;2;0;642;1;1
7,6;19;1,2;2;0;14048;1;0
7,7;26;5;3;0;635;1;0
8,4;32;4;5;0;588;1;0
7,1;13;10;3;0;175;1;0
8,8;94;4,5;5;0;484;1;1
7;17;7;3;0;1009;1;0
8,2;51;13;4;0;218;1;0
8,8;19;0,35;3;0;1109;1;1
8,8;63;2,8;4;0;104;1;0
7,9;16;5;2;0;643;1;1
7,6;23;1,4;3;0;260;1;1
7,7;28;1,1;3;0;2284;1;0
6,4;12;6;2;0;51;1;0
8,6;25;2,8;2;0;635;0;1
8,6;55;8;4;0;76;1;1
7,3;14;4,2;3;0;39;1;0
8,8;15;11;2;0;29;1;0
7;17;3,3;3;0;335;1;0
8,1;42;8;4;0;346;1;0
7,8;34;4;3;0;279;1;0
8,1;25;5;3;0;733;1;0
8,3;37;0,85;3;0;1763;1;0
8,5;40;8;4;0;431;1;0
8,4;25;10;3;0;135;1;1
8,4;64;7;5;0;2692;1;0
7,7;42;8;3;0;85;1;0
8,7;29;4,1;3;0;319;1;1
8,6;23;7;4;0;199;1;1
8;43;9;5;0;173;1;0
6,4;22;13;4;1;140;1;0
9,1;29;4,2;3;0;716;1;0
9,4;26;3,2;3;0;87;1;1
7,1;36;11;4;0;72;1;0
7,8;25;12;3;0;119;1;1
8,2;35;5;3;0;197;1;1
6,8;25;5;3;1;995;1;0
8,4;18;9;3;0;545;1;1
7,7;30;2,5;3;1;422;1;0
8,1;14;14;4;0;133;1;0
8;17;9;3;0;716;1;1
7;69;8;5;1;4;1;1
8,1;24;4,3;3;0;755;1;0
6,6;22;3,8;3;0;629;1;0
8,1;19;3,4;3;0;332;1;0
7,8;38;8;4;0;260;1;1
8,5;29;7;4;0;188;1;0
8,2;25;11;3;0;6;1;0
8,6;18;2;3;0;466;1;0
9;21;12;3;0;129;1;1
8,6;28;3,8;3;0;366;1;0
8,2;11;4,1;2;0;35;1;1
8,1;19;6;3;0;238;1;1
8,5;41;12;4;0;42;0;1
8,1;68;8;4;0;392;1;0
8,5;58;6;5;0;220;1;0
9,3;15;2;3;0;517;1;1
8,5;12;14;2;0;28;1;1
7,5;32;5;4;1;202;1;0
8,4;23;8;3;0;170;1;1
8,3;19;5;3;0;423;1;0
