"Hotel_Name";"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
"
U Sathorn Bangkok Resort
";8,9;66;6;5;1;260;1;0
"
The Westin Grande Sukhumvit, Bangkok
";8,8;68;6;5;0;443;1;0
"
Viva Residence
";8,3;15;19;4;0;513;1;0
"
Oakwood Residence Sukhumvit 24
";8,3;50;7;4;0;200;1;0
"
Riva Surya Bangkok
";9,2;55;1,6;4;0;869;1;0
"
Swissotel Bangkok Ratchada
";8,6;58;7;5;0;222;1;0
"
X2 Vibe Bangkok Sukhumvit Hotel
";8,3;31;11;4;0;812;1;0
"
Akyra Thonglor Bangkok
";9,1;83;8;5;0;595;1;0
"
The Athenee Hotel, A Luxury Collection Hotel, Bangkok
";9,1;107;4,8;5;0;607;1;0
"
Shama Lakeview Asoke
";8,5;33;6;4;0;987;1;0
"
The Quarter Ladprao by UHG
";8,9;30;8;4;0;2539;1;0
"
The Bedroom Ladprao 101 Bangkok
";8,6;13;14;4;0;849;1;0
"
Somerset Sukhumvit Thonglor
";8,7;68;8;4;0;469;1;0
"
Baiyoke Sky Hotel
";7,8;28;3,8;4;0;6033;1;0
"
Patumwan House
";8,3;16;2,8;3;0;1890;1;0
"
Royal Princess Larn Luang
";8,2;27;0,85;4;0;1144;1;0
"
Vib Best Western Sanam Pao
";9;24;4,4;3;0;765;1;0
"
Shama Sukhumvit Bangkok
";8,2;49;5;4;0;768;1;0
"
Renaissance Bangkok Ratchaprasong Hotel
";8,9;65;4,2;5;0;748;1;0
"
Prom Ratchada Hotel
";8,2;22;7;4;1;822;1;0
"
The Quarter Hualamphong by UHG
";9,3;20;2,3;4;0;11;1;0
"
Somerset Ekamai Bangkok
";8,6;59;9;4;0;1358;1;0
"
Shanghai Mansion Bangkok
";8,9;21;1,9;4;0;1135;1;0
"
LA49 Hotel
";9,1;27;8;3;0;1189;1;0
"
IWISH Hotel
";8,1;23;11;4;0;128;1;1
"
Dazzle Residence
";8,1;29;5;4;0;232;1;0
"
Yaks House Hostel
";8,7;15;2,6;3;0;449;1;0
"
Grand Asoke Residence Sukhumvit
";8,9;41;6;4;0;64;1;0
"
Eastin Grand Hotel Sathorn
";9,3;93;4,5;5;0;4727;1;0
"
Vinary Hotel
";7,8;16;6;3;0;388;1;0
"
Nouvo City Hotel
";8,5;30;1,1;4;0;4371;1;0
"
Centra by Centara Government Complex Hotel & Covention Centre Chaeng Watthana
";8,1;41;15;4;0;204;1;0
"
Le Tada Residence
";8,5;21;3,8;3;0;558;1;0
